01 Marilyn_Manson 64 72 84
02 Radiohead 87 92 48
03 Rage_Against_the_Machine 77 65 98
04 David_Bowie 92 45 87
05 My_Bloody_Valentine 87 24 89
06 THA_BLUE_HERB 75 58 70
07 PUNPEE 82 78 65
08 Shing02 58 58 90 
09 Tool 98 87 46
10 Slipknot 87 58 32
11 Hi-STANDARD 47 56 87
12 KID_FRESION 84 58 25
13 Aphex_Twin 68 87 54
14 ZAZEN_BOYZ 85 65 78
15 King_Crimson 54 68 90
16 te` 65 58 72
17 Dave_Aju 35 54 85
18 80kidz 78 58 25
19 Boredoms 25 58 89
20 Fugazi 78 25 58
21 Jandek 23 24 54
22 KoRn 78 58 40
23 Lauryn_Hill 87 58 65
24 Neurosis 22 40 78

